Account,sentiment_simple,trade_count,avg_pnl,win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,fear,3356,574.4146960771752,0.40554231227651966
0x083384f897ee0f19899168e3b1bec365f52a9012,greed,462,-708.8872295584415,0.025974025974025976
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,fear,3533,4.839718951316161,0.43504104160769885
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,greed,320,64.39826904062501,0.53125
0x271b280974205ca63b716753467d5a371de622ab,fear,1136,26.382859345070422,0.43045774647887325
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,fear,6794,1.5359281231969386,0.4327347659699735
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,greed,6472,18.831950867737948,0.4437577255871446
0x2c229d22b100a7beb69122eed721cee9b24011dd,fear,2471,47.11139401295022,0.5337919870497774
0x2c229d22b100a7beb69122eed721cee9b24011dd,greed,763,68.43476991874181,0.4744429882044561
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,fear,349,-170.05638139828082,0.2636103151862464
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,greed,188,167.17741952659574,0.43617021276595747
0x39cef799f8b69da1995852eea189df24eb5cae3c,fear,3445,-5.958334550362845,0.3193033381712627
0x39cef799f8b69da1995852eea189df24eb5cae3c,greed,144,242.94015181944445,0.5277777777777778
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,fear,141,325.41580819148936,0.5602836879432624
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,greed,191,39.856640251308896,0.41361256544502617
0x420ab45e0bd8863569a5efbb9c05d91f40624641,fear,258,710.8644346589148,0.2441860465116279
0x420ab45e0bd8863569a5efbb9c05d91f40624641,greed,125,128.82054872,0.216
0x430f09841d65beb3f27765503d0f850b8bce7713,fear,671,164.72117118032787,0.4828614008941878
0x430f09841d65beb3f27765503d0f850b8bce7713,greed,131,1224.8131153053434,0.2900763358778626
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,fear,4629,7.060534476992871,0.36552171095268954
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,greed,3711,18.6694769711668,0.3381837779574239
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,fear,3806,161.14761619127694,0.4952706253284288
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,greed,328,186.20782868292682,0.4115853658536585
0x4f93fead39b70a1824f981a54d4e55b278e9f760,fear,3737,59.93266547845865,0.39175809472839174
0x4f93fead39b70a1824f981a54d4e55b278e9f760,greed,2433,42.46240319564324,0.3218249075215783
0x513b8629fe877bb581bf244e326a047b249c4ff1,fear,5777,69.84622610507184,0.4156136402977324
0x513b8629fe877bb581bf244e326a047b249c4ff1,greed,223,0.0,0.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,fear,572,12.20164487937063,0.2692307692307692
0x6d6a4b953f202f8df5bed40692e7fd865318264a,greed,250,406.15709612399996,1.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,fear,932,105.43905050751073,0.43991416309012876
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,greed,202,1621.5148514455445,0.5148514851485149
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,fear,939,364.15914242918,0.3961661341853035
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,greed,419,123.4787098281623,0.028639618138424822
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,fear,4885,27.882915847082906,0.7985670419651996
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,greed,4057,55.550509259797884,0.8232684249445403
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,fear,1554,9.511868112612612,0.4510939510939511
0x8170715b3b381dffb7062c0298972d4727a0a63b,fear,3056,64.2355343085733,0.28763089005235604
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,fear,1802,35.799206413984464,0.3401775804661487
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,greed,54,0.21699400000000021,0.037037037037037035
0x8477e447846c758f5a675856001ea72298fd9cb5,fear,5602,8.2572935,0.30739021777936454
0x8477e447846c758f5a675856001ea72298fd9cb5,greed,1804,22.16096336474501,0.32427937915742794
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,fear,2080,48.31847154230769,0.3903846153846154
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,greed,724,12.010162052486187,0.07596685082872928
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,fear,9274,4.347078716195816,0.32003450506793185
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,greed,4211,11.679105885062931,0.418665400142484
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,fear,95,204.75518396842105,0.8842105263157894
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,greed,283,239.93020333922263,0.5477031802120141
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,fear,182,48.08654642307692,0.2692307692307692
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,greed,190,110.13428011578948,0.5526315789473685
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,fear,525,41.34060288190476,0.3238095238095238
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,fear,7380,75.04308949390244,0.3910569105691057
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,greed,5387,264.4362806727307,0.3116762576573232
0xb899e522b5715391ae1d4f137653e7906c5e2115,fear,4838,4.648305254443986,0.4386109962794543
0xbaaaf6571ab7d571043ff1e313a9609a10637864,fear,21190,44.36796662019821,0.46753185464841907
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,fear,2211,147.19221040976933,0.3722297602894618
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,greed,267,43.71415730337079,0.15355805243445692
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,fear,26651,4.764098013808112,0.3848636073693295
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,greed,9883,69.23150891449964,0.5692603460487706
